[2024-03-13 09:40:25,999][12256] Saving configuration to /workspace/metta/train_dir/p2.a100.batch.17.lr.e3/config.json...
[2024-03-13 09:40:26,002][12256] Rollout worker 42 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 43 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 44 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 45 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 46 uses device cpu
[2024-03-13 09:40:26,003][12256] Rollout worker 47 uses device cpu
[2024-03-13 09:40:26,003][12256] Rollout worker 48 uses device cpu
[2024-03-13 09:40:26,003][12256] Rollout worker 49 uses device cpu
[2024-03-13 09:40:30,077][12256] Using GPUs [0] for process 0 (actually maps to GPUs [0])
[2024-03-13 09:40:30,078][12256] InferenceWorker_p0-w0: min num requests: 16
[2024-03-13 09:40:30,140][12256] Starting all processes...
[2024-03-13 09:40:30,140][12256] Starting process learner_proc0
[2024-03-13 09:40:30,141][12256] Starting all processes...
[2024-03-13 09:40:30,144][12256] Starting process inference_proc0-0
[2024-03-13 09:40:30,144][12256] Starting process rollout_proc0
[2024-03-13 09:40:30,145][12256] Starting process rollout_proc1
[2024-03-13 09:40:30,146][12256] Starting process rollout_proc2
[2024-03-13 09:40:30,146][12256] Starting process rollout_proc3
[2024-03-13 09:40:30,146][12256] Starting process rollout_proc4
[2024-03-13 09:40:30,147][12256] Starting process rollout_proc5
[2024-03-13 09:40:30,147][12256] Starting process rollout_proc6
[2024-03-13 09:40:30,147][12256] Starting process rollout_proc7
[2024-03-13 09:40:30,147][12256] Starting process rollout_proc8
[2024-03-13 09:40:30,147][12256] Starting process rollout_proc9
[2024-03-13 09:40:30,147][12256] Starting process rollout_proc10
[2024-03-13 09:40:30,147][12256] Starting process rollout_proc11
[2024-03-13 09:40:30,147][12256] Starting process rollout_proc12
[2024-03-13 09:40:30,148][12256] Starting process rollout_proc13
[2024-03-13 09:40:30,148][12256] Starting process rollout_proc14
[2024-03-13 09:40:30,150][12256] Starting process rollout_proc15
[2024-03-13 09:40:30,150][12256] Starting process rollout_proc16
[2024-03-13 09:40:30,150][12256] Starting process rollout_proc17
[2024-03-13 09:40:30,152][12256] Starting process rollout_proc18
[2024-03-13 09:40:30,153][12256] Starting process rollout_proc19
[2024-03-13 09:40:30,154][12256] Starting process rollout_proc20
[2024-03-13 09:40:30,154][12256] Starting process rollout_proc21
[2024-03-13 09:40:30,154][12256] Starting process rollout_proc22
[2024-03-13 09:40:30,156][12256] Starting process rollout_proc23
[2024-03-13 09:40:30,156][12256] Starting process rollout_proc24
[2024-03-13 09:40:30,158][12256] Starting process rollout_proc25
[2024-03-13 09:40:30,158][12256] Starting process rollout_proc26
[2024-03-13 09:40:30,162][12256] Starting process rollout_proc27
[2024-03-13 09:40:30,163][12256] Starting process rollout_proc28
[2024-03-13 09:40:30,164][12256] Starting process rollout_proc29
[2024-03-13 09:40:30,165][12256] Starting process rollout_proc30
[2024-03-13 09:40:30,223][12256] Starting process rollout_proc31
[2024-03-13 09:40:30,223][12256] Starting process rollout_proc32
[2024-03-13 09:40:30,223][12256] Starting process rollout_proc33
[2024-03-13 09:40:30,223][12256] Starting process rollout_proc34
[2024-03-13 09:40:30,248][12256] Starting process rollout_proc35
[2024-03-13 09:40:30,263][12256] Starting process rollout_proc36
[2024-03-13 09:40:30,317][12256] Starting process rollout_proc37
[2024-03-13 09:40:30,317][12256] Starting process rollout_proc38
[2024-03-13 09:40:30,318][12256] Starting process rollout_proc39
[2024-03-13 09:40:30,341][12256] Starting process rollout_proc40
[2024-03-13 09:40:30,366][12256] Starting process rollout_proc41
[2024-03-13 09:40:30,392][12256] Starting process rollout_proc42
[2024-03-13 09:40:30,392][12256] Starting process rollout_proc43
[2024-03-13 09:40:30,392][12256] Starting process rollout_proc44
[2024-03-13 09:40:30,433][12256] Starting process rollout_proc45
[2024-03-13 09:40:30,433][12256] Starting process rollout_proc46
[2024-03-13 09:40:30,433][12256] Starting process rollout_proc47
[2024-03-13 09:40:30,465][12256] Starting process rollout_proc48
[2024-03-13 09:40:30,465][12256] Starting process rollout_proc49
[2024-03-13 09:40:33,354][12488] Worker 2 uses CPU cores [2]
[2024-03-13 09:40:33,354][12487] Worker 7 uses CPU cores [7]
[2024-03-13 09:40:33,425][13738] Worker 48 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:33,518][12485] Worker 4 uses CPU cores [4]
[2024-03-13 09:40:33,650][12490] Worker 1 uses CPU cores [1]
[2024-03-13 09:40:33,702][13164] Worker 23 uses CPU cores [23]
[2024-03-13 09:40:33,778][12748] Worker 15 uses CPU cores [15]
[2024-03-13 09:40:33,890][12494] Worker 11 uses CPU cores [11]
[2024-03-13 09:40:33,894][12483] Using GPUs [0] for process 0 (actually maps to GPUs [0])
[2024-03-13 09:40:33,894][12483] Set environment var CUDA_VISIBLE_DEVICES to '0' (GPU indices [0]) for inference process 0
[2024-03-13 09:40:33,902][12482] Worker 0 uses CPU cores [0]
[2024-03-13 09:40:33,914][12483] Num visible devices: 1
[2024-03-13 09:40:33,920][13419] Worker 40 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,072][13452] Worker 41 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,081][12462] Using GPUs [0] for process 0 (actually maps to GPUs [0])
[2024-03-13 09:40:34,081][12462] Set environment var CUDA_VISIBLE_DEVICES to '0' (GPU indices [0]) for learning process 0
[2024-03-13 09:40:34,090][13067] Worker 27 uses CPU cores [27]
[2024-03-13 09:40:34,091][12462] Num visible devices: 1
[2024-03-13 09:40:34,126][12499] Worker 13 uses CPU cores [13]
[2024-03-13 09:40:34,154][12484] Worker 3 uses CPU cores [3]
[2024-03-13 09:40:34,176][13165] Worker 31 uses CPU cores [31]
[2024-03-13 09:40:34,177][13801] Worker 46 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,177][12462] Starting seed is not provided
[2024-03-13 09:40:34,177][12462] Using GPUs [0] for process 0 (actually maps to GPUs [0])
[2024-03-13 09:40:34,177][12462] Initializing actor-critic model on device cuda:0
[2024-03-13 09:40:34,178][12462] RunningMeanStd input shape: (20,)
[2024-03-13 09:40:34,178][12462] RunningMeanStd input shape: (11, 11)
[2024-03-13 09:40:34,178][12462] RunningMeanStd input shape: (2,)
[2024-03-13 09:40:34,178][12462] RunningMeanStd input shape: (1,)
[2024-03-13 09:40:34,178][12462] RunningMeanStd input shape: (22, 11, 11)
[2024-03-13 09:40:34,179][12462] RunningMeanStd input shape: (1,)
[2024-03-13 09:40:34,194][12749] Worker 18 uses CPU cores [18]
[2024-03-13 09:40:34,210][12752] Worker 20 uses CPU cores [20]
[2024-03-13 09:40:34,214][12493] Worker 10 uses CPU cores [10]
[2024-03-13 09:40:34,226][12492] Worker 9 uses CPU cores [9]
[2024-03-13 09:40:34,234][12491] Worker 8 uses CPU cores [8]
[2024-03-13 09:40:34,258][12750] Worker 19 uses CPU cores [19]
[2024-03-13 09:40:34,269][12848] Worker 24 uses CPU cores [24]
[2024-03-13 09:40:34,272][13453] Worker 39 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,310][12623] Worker 17 uses CPU cores [17]
[2024-03-13 09:40:34,311][13199] Worker 34 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,329][13131] Worker 30 uses CPU cores [30]
[2024-03-13 09:40:34,334][13167] Worker 28 uses CPU cores [28]
[2024-03-13 09:40:34,365][13357] Worker 38 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,381][12462] Created Actor Critic model with architecture:
[2024-03-13 09:40:34,382][12462] PredictingActorCritic(
  (obs_normalizer): ObservationNormalizer(
    (running_mean_std): RunningMeanStdDictInPlace(
      (running_mean_std): ModuleDict(
        (global_vars): RunningMeanStdInPlace()
        (kinship): RunningMeanStdInPlace()
        (last_action): RunningMeanStdInPlace()
        (last_reward): RunningMeanStdInPlace()
        (obs): RunningMeanStdInPlace()
      )
    )
  )
  (returns_normalizer): RecursiveScriptModule(original_name=RunningMeanStdInPlace)
  (encoder): GriddlyEncoder(
    (encoder_head): Sequential(
      (0): Flatten(start_dim=1, end_dim=-1)
      (1): Linear(in_features=4096, out_features=512, bias=True)
      (2): ELU(alpha=1.0)
      (3): Linear(in_features=512, out_features=512, bias=True)
      (4): ELU(alpha=1.0)
      (5): Linear(in_features=512, out_features=512, bias=True)
      (6): ELU(alpha=1.0)
      (7): Linear(in_features=512, out_features=512, bias=True)
      (8): ELU(alpha=1.0)
      (9): Linear(in_features=512, out_features=512, bias=True)
      (10): ELU(alpha=1.0)
    )
  )
  (core): ModelCoreRNN(
    (core): GRU(512, 512)
  )
  (decoder): GriddlyDecoder(
    (mlp): Identity()
  )
  (critic_linear): Linear(in_features=512, out_features=1, bias=True)
  (action_parameterization): ActionParameterizationDefault(
    (distribution_linear): Linear(in_features=512, out_features=17, bias=True)
  )
  (obs_predictor): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=2662, bias=True)
    (3): ReLU()
  )
)
[2024-03-13 09:40:34,417][13485] Worker 37 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,425][13803] Worker 45 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,434][12489] Worker 6 uses CPU cores [6]
[2024-03-13 09:40:34,445][13802] Worker 47 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,454][12495] Worker 12 uses CPU cores [12]
[2024-03-13 09:40:34,454][12496] Worker 14 uses CPU cores [14]
[2024-03-13 09:40:34,577][13132] Worker 33 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,603][13643] Worker 44 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,651][13644] Worker 49 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,672][13356] Worker 36 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,672][13548] Worker 42 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,711][12846] Worker 25 uses CPU cores [25]
[2024-03-13 09:40:34,714][12751] Worker 21 uses CPU cores [21]
[2024-03-13 09:40:34,726][13130] Worker 22 uses CPU cores [22]
[2024-03-13 09:40:34,746][12486] Worker 5 uses CPU cores [5]
[2024-03-13 09:40:34,782][13611] Worker 43 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,785][13166] Worker 32 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,786][12955] Worker 26 uses CPU cores [26]
[2024-03-13 09:40:34,818][13231] Worker 35 uses CPU cores [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
[2024-03-13 09:40:34,826][12847] Worker 29 uses CPU cores [29]
[2024-03-13 09:40:34,869][12514] Worker 16 uses CPU cores [16]
[2024-03-13 09:40:35,111][12462] Using optimizer <class 'torch.optim.adam.Adam'>
[2024-03-13 09:40:35,111][12462] No checkpoints found
[2024-03-13 09:40:35,111][12462] Did not load from checkpoint, starting from scratch!
[2024-03-13 09:40:35,111][12462] Initialized policy 0 weights for model version 0
[2024-03-13 09:40:35,112][12462] LearnerWorker_p0 finished initialization!
[2024-03-13 09:40:35,112][12462] Using GPUs [0] for process 0 (actually maps to GPUs [0])
[2024-03-13 09:40:35,492][12483] RunningMeanStd input shape: (20,)
[2024-03-13 09:40:35,492][12483] RunningMeanStd input shape: (11, 11)
[2024-03-13 09:40:35,492][12483] RunningMeanStd input shape: (2,)
[2024-03-13 09:40:35,492][12483] RunningMeanStd input shape: (1,)
[2024-03-13 09:40:35,493][12483] RunningMeanStd input shape: (22, 11, 11)
[2024-03-13 09:40:35,493][12483] RunningMeanStd input shape: (1,)
[2024-03-13 09:40:35,827][12256] Inference worker 0-0 is ready!
[2024-03-13 09:40:35,827][12256] All inference workers are ready! Signal rollout workers to start!
[2024-03-13 09:40:38,276][12256] Fps is (10 sec: nan, 60 sec: nan, 300 sec: nan). Total num frames: 0. Throughput: 0: nan. Samples: 0. Policy #0 lag: (min: -1.0, avg: -1.0, max: -1.0)
[2024-03-13 09:40:42,332][12485] Decorrelating experience for 0 frames...
[2024-03-13 09:40:42,652][12848] Decorrelating experience for 0 frames...
[2024-03-13 09:40:43,276][12256] Fps is (10 sec: 0.0, 60 sec: 0.0, 300 sec: 0.0). Total num frames: 0. Throughput: 0: 0.0. Samples: 0. Policy #0 lag: (min: -1.0, avg: -1.0, max: -1.0)
[2024-03-13 09:40:43,684][13165] Decorrelating experience for 0 frames...
[2024-03-13 09:40:44,274][12499] Decorrelating experience for 0 frames...
[2024-03-13 09:40:44,489][12623] Decorrelating experience for 0 frames...
[2024-03-13 09:40:44,633][12846] Decorrelating experience for 0 frames...
[2024-03-13 09:40:44,666][13167] Decorrelating experience for 0 frames...
[2024-03-13 09:40:44,735][12486] Decorrelating experience for 0 frames...
[2024-03-13 09:40:44,757][12490] Decorrelating experience for 0 frames...
[2024-03-13 09:40:44,772][12482] Decorrelating experience for 0 frames...
[2024-03-13 09:40:45,061][12493] Decorrelating experience for 0 frames...
[2024-03-13 09:40:45,065][12752] Decorrelating experience for 0 frames...
[2024-03-13 09:40:45,133][12495] Decorrelating experience for 0 frames...
[2024-03-13 09:40:45,251][12488] Decorrelating experience for 0 frames...
[2024-03-13 09:40:45,263][13131] Decorrelating experience for 0 frames...
[2024-03-13 09:40:45,338][12484] Decorrelating experience for 0 frames...
[2024-03-13 09:40:45,415][12487] Decorrelating experience for 0 frames...
[2024-03-13 09:40:45,454][12494] Decorrelating experience for 0 frames...
[2024-03-13 09:40:46,011][12489] Decorrelating experience for 0 frames...
[2024-03-13 09:40:46,209][12955] Decorrelating experience for 0 frames...
[2024-03-13 09:40:46,264][12748] Decorrelating experience for 0 frames...
[2024-03-13 09:40:46,321][12751] Decorrelating experience for 0 frames...
[2024-03-13 09:40:46,556][12496] Decorrelating experience for 0 frames...
[2024-03-13 09:40:46,950][12514] Decorrelating experience for 0 frames...
[2024-03-13 09:40:47,420][12749] Decorrelating experience for 0 frames...
[2024-03-13 09:40:47,466][12847] Decorrelating experience for 0 frames...
[2024-03-13 09:40:47,480][12491] Decorrelating experience for 0 frames...
[2024-03-13 09:40:48,240][12750] Decorrelating experience for 0 frames...
[2024-03-13 09:40:48,276][12256] Fps is (10 sec: 0.0, 60 sec: 0.0, 300 sec: 0.0). Total num frames: 0. Throughput: 0: 0.0. Samples: 0. Policy #0 lag: (min: -1.0, avg: -1.0, max: -1.0)
[2024-03-13 09:40:48,877][13130] Decorrelating experience for 0 frames...
[2024-03-13 09:40:48,913][12492] Decorrelating experience for 0 frames...
[2024-03-13 09:40:49,508][13165] Decorrelating experience for 256 frames...
[2024-03-13 09:40:49,950][13164] Decorrelating experience for 0 frames...
[2024-03-13 09:40:50,075][12256] Heartbeat connected on Batcher_0
[2024-03-13 09:40:50,076][12256] Heartbeat connected on LearnerWorker_p0
[2024-03-13 09:40:50,126][12256] Heartbeat connected on InferenceWorker_p0-w0
[2024-03-13 09:40:50,278][12623] Decorrelating experience for 256 frames...
[2024-03-13 09:40:51,113][13131] Decorrelating experience for 256 frames...
[2024-03-13 09:40:51,604][12490] Decorrelating experience for 256 frames...
[2024-03-13 09:40:51,904][12482] Decorrelating experience for 256 frames...
[2024-03-13 09:40:51,991][13801] Decorrelating experience for 0 frames...
[2024-03-13 09:40:52,022][12493] Decorrelating experience for 256 frames...
[2024-03-13 09:40:52,153][12955] Decorrelating experience for 256 frames...
[2024-03-13 09:40:52,357][12752] Decorrelating experience for 256 frames...
[2024-03-13 09:40:52,377][13166] Decorrelating experience for 0 frames...
[2024-03-13 09:40:52,478][13419] Decorrelating experience for 0 frames...
[2024-03-13 09:40:52,827][12846] Decorrelating experience for 256 frames...
[2024-03-13 09:40:52,839][12494] Decorrelating experience for 256 frames...
[2024-03-13 09:40:52,888][13067] Decorrelating experience for 0 frames...
[2024-03-13 09:40:52,893][13644] Decorrelating experience for 0 frames...
[2024-03-13 09:40:52,929][13643] Decorrelating experience for 0 frames...
[2024-03-13 09:40:52,942][13453] Decorrelating experience for 0 frames...
[2024-03-13 09:40:52,957][13548] Decorrelating experience for 0 frames...
[2024-03-13 09:40:53,032][13802] Decorrelating experience for 0 frames...
[2024-03-13 09:40:53,202][12487] Decorrelating experience for 256 frames...
[2024-03-13 09:40:53,202][12749] Decorrelating experience for 256 frames...
[2024-03-13 09:40:53,257][13357] Decorrelating experience for 0 frames...
[2024-03-13 09:40:53,276][12256] Fps is (10 sec: 0.0, 60 sec: 0.0, 300 sec: 0.0). Total num frames: 0. Throughput: 0: 0.0. Samples: 0. Policy #0 lag: (min: -1.0, avg: -1.0, max: -1.0)
[2024-03-13 09:40:53,297][13803] Decorrelating experience for 0 frames...
[2024-03-13 09:40:53,490][13485] Decorrelating experience for 0 frames...
[2024-03-13 09:40:53,537][13231] Decorrelating experience for 0 frames...
[2024-03-13 09:40:53,710][13611] Decorrelating experience for 0 frames...
[2024-03-13 09:40:53,736][12750] Decorrelating experience for 256 frames...
[2024-03-13 09:40:53,802][12847] Decorrelating experience for 256 frames...
[2024-03-13 09:40:54,039][13199] Decorrelating experience for 0 frames...
[2024-03-13 09:40:54,190][12499] Decorrelating experience for 256 frames...
[2024-03-13 09:40:54,227][12489] Decorrelating experience for 256 frames...
[2024-03-13 09:40:54,222][13738] Decorrelating experience for 0 frames...
[2024-03-13 09:40:54,530][13452] Decorrelating experience for 0 frames...
[2024-03-13 09:40:54,544][12751] Decorrelating experience for 256 frames...
[2024-03-13 09:40:54,889][12495] Decorrelating experience for 256 frames...
[2024-03-13 09:40:55,200][13356] Decorrelating experience for 0 frames...
[2024-03-13 09:40:55,342][13132] Decorrelating experience for 0 frames...
[2024-03-13 09:40:55,640][12256] Heartbeat connected on RolloutWorker_w31
[2024-03-13 09:40:55,856][12514] Decorrelating experience for 256 frames...
[2024-03-13 09:40:56,107][12848] Decorrelating experience for 256 frames...
[2024-03-13 09:40:56,361][12256] Heartbeat connected on RolloutWorker_w17
[2024-03-13 09:40:56,673][13130] Decorrelating experience for 256 frames...
[2024-03-13 09:40:56,706][12485] Decorrelating experience for 256 frames...
[2024-03-13 09:40:56,868][12488] Decorrelating experience for 256 frames...
[2024-03-13 09:40:56,969][12256] Heartbeat connected on RolloutWorker_w30
[2024-03-13 09:40:58,122][13167] Decorrelating experience for 256 frames...
[2024-03-13 09:40:58,186][13164] Decorrelating experience for 256 frames...
[2024-03-13 09:40:58,276][12256] Fps is (10 sec: 0.0, 60 sec: 0.0, 300 sec: 0.0). Total num frames: 0. Throughput: 0: 255.0. Samples: 5100. Policy #0 lag: (min: -1.0, avg: -1.0, max: -1.0)
[2024-03-13 09:40:58,366][12256] Heartbeat connected on RolloutWorker_w26
[2024-03-13 09:40:58,921][12256] Heartbeat connected on RolloutWorker_w1
[2024-03-13 09:40:58,952][12491] Decorrelating experience for 256 frames...
[2024-03-13 09:40:59,215][13067] Decorrelating experience for 256 frames...
[2024-03-13 09:40:59,240][12256] Heartbeat connected on RolloutWorker_w0
[2024-03-13 09:40:59,513][12484] Decorrelating experience for 256 frames...
[2024-03-13 09:40:59,661][12486] Decorrelating experience for 256 frames...
[2024-03-13 09:40:59,791][12492] Decorrelating experience for 256 frames...
[2024-03-13 09:40:59,813][12256] Heartbeat connected on RolloutWorker_w10
[2024-03-13 09:40:59,834][12256] Heartbeat connected on RolloutWorker_w19
[2024-03-13 09:41:00,323][12256] Heartbeat connected on RolloutWorker_w20
[2024-03-13 09:41:00,689][12256] Heartbeat connected on RolloutWorker_w21
[2024-03-13 09:41:01,127][12256] Heartbeat connected on RolloutWorker_w25
[2024-03-13 09:41:01,423][12256] Heartbeat connected on RolloutWorker_w11
[2024-03-13 09:41:01,501][12748] Decorrelating experience for 256 frames...
[2024-03-13 09:41:02,647][12256] Heartbeat connected on RolloutWorker_w7
[2024-03-13 09:41:02,688][12256] Heartbeat connected on RolloutWorker_w22
[2024-03-13 09:41:02,788][12256] Heartbeat connected on RolloutWorker_w24
[2024-03-13 09:41:02,945][12256] Heartbeat connected on RolloutWorker_w29
[2024-03-13 09:41:02,976][12256] Heartbeat connected on RolloutWorker_w18
[2024-03-13 09:41:02,981][12496] Decorrelating experience for 256 frames...
[2024-03-13 09:41:03,101][12256] Heartbeat connected on RolloutWorker_w16
[2024-03-13 09:41:03,276][12256] Fps is (10 sec: 0.0, 60 sec: 0.0, 300 sec: 0.0). Total num frames: 0. Throughput: 0: 4132.0. Samples: 103300. Policy #0 lag: (min: -1.0, avg: -1.0, max: -1.0)
[2024-03-13 09:41:04,698][12256] Heartbeat connected on RolloutWorker_w13
[2024-03-13 09:41:04,953][12256] Heartbeat connected on RolloutWorker_w6
[2024-03-13 09:41:04,961][12256] Heartbeat connected on RolloutWorker_w27
[2024-03-13 09:41:04,986][12256] Heartbeat connected on RolloutWorker_w28
[2024-03-13 09:41:05,024][12256] Heartbeat connected on RolloutWorker_w23
[2024-03-13 09:41:05,160][12256] Heartbeat connected on RolloutWorker_w12
[2024-03-13 09:41:05,766][13166] Decorrelating experience for 256 frames...
[2024-03-13 09:41:05,813][13453] Decorrelating experience for 256 frames...
[2024-03-13 09:41:05,818][13803] Decorrelating experience for 256 frames...
[2024-03-13 09:41:05,893][12256] Heartbeat connected on RolloutWorker_w2
[2024-03-13 09:41:05,896][13419] Decorrelating experience for 256 frames...
[2024-03-13 09:41:05,985][13548] Decorrelating experience for 256 frames...
[2024-03-13 09:41:06,093][13801] Decorrelating experience for 256 frames...
[2024-03-13 09:41:06,136][12256] Heartbeat connected on RolloutWorker_w4
[2024-03-13 09:41:06,180][12256] Heartbeat connected on RolloutWorker_w8
